,Example name,#reads,Annealing time $(\mu s)$,Annealing sampling time $(s)$,Success prob,TTS
0,hypergraph_not_selfdual_2025_09_29_18_46_45_7_0,10000,20,1.2977,0.014,0.04238712961001059
1,hypergraph_not_selfdual_2025_09_29_18_45_25_7_0,10000,20,1.32905,0.0258,0.023415515544368975
2,hypergraph_not_selfdual_2025_09_29_18_45_30_9_1,10000,200,3.20675,0.0103,0.14263538802989933
3,hypergraph_not_selfdual_2025_09_29_18_46_45_7_0,10000,5,1.1196,0.0157,0.03258195921642111
4,hypergraph_not_selfdual_2025_09_29_18_46_10_9_1,10000,200,3.23905,0.0242,0.06088905545743054
5,hypergraph_not_selfdual_2025_09_29_18_46_20_9_1,10000,5,1.221,0.0026,0.21598460918293427
6,hypergraph_not_selfdual_2025_09_29_18_46_39_9_0,10000,5,1.22975,0.0047,0.12021040527105527
7,hypergraph_not_selfdual_2025_09_29_18_46_38_8_1,10000,20,1.31745,0.005,0.12103802172846662
8,hypergraph_not_selfdual_2025_09_29_18_46_53_6_0,10000,100,2.12435,0.0314,0.03066427901364487
9,hypergraph_not_selfdual_2025_09_29_18_45_58_8_1,10000,20,1.3417,0.006,0.1026700329322175
10,hypergraph_not_selfdual_2025_09_29_18_46_00_9_1,10000,20,1.38975,0.0,inf
11,hypergraph_not_selfdual_2025_09_29_18_46_58_8_1,10000,100,2.15645,0.0078,0.12682100648611963
12,hypergraph_not_selfdual_2025_09_29_18_45_26_7_1,10000,100,2.11825,0.0192,0.05031745888967332
13,hypergraph_not_selfdual_2025_09_29_18_45_55_7_0,10000,200,3.08315,0.0156,0.09030379800497633
14,hypergraph_not_selfdual_2025_09_29_18_46_01_5_0,10000,20,1.23765,0.1898,0.002707975743845446
15,hypergraph_not_selfdual_2025_09_29_18_46_06_7_1,10000,100,2.0794,0.0217,0.04364843999892804
16,hypergraph_not_selfdual_2025_09_29_18_46_27_8_0,10000,100,2.0186,1.0,0.00020186000000000002
