,Example name,#reads,Annealing time $(\mu s)$,Annealing sampling time $(s)$,Success prob,TTS
0,hypergraph_not_selfdual_2025_09_29_18_45_38_8_1,15000,200,4.59064,0.0016,0.8801567252587753
1,hypergraph_not_selfdual_2025_09_29_18_45_41_5_0,15000,200,4.20754,0.128,0.009431274071435694
2,hypergraph_not_selfdual_2025_09_29_18_45_59_9_0,15000,20,2.3546599999999995,0.0014666666666666667,0.4925298229184559
3,hypergraph_not_selfdual_2025_09_29_18_46_38_8_1,15000,20,1.89026,0.003,0.19315344452741576
4,hypergraph_not_selfdual_2025_09_29_18_46_16_7_1,15000,100,3.1743,0.013866666666666666,0.06979136081453022
5,hypergraph_not_selfdual_2025_09_29_18_45_58_8_1,15000,20,1.90838,0.005333333333333333,0.10956197524399587
6,hypergraph_not_selfdual_2025_09_29_18_46_08_8_1,15000,20,1.7629000000000001,0.0022,0.24574305887440231
7,hypergraph_not_selfdual_2025_09_29_18_46_09_9_0,15000,20,2.4594199999999997,0.0008,0.9434597196217795
8,hypergraph_not_selfdual_2025_09_29_18_46_08_8_1,15000,200,4.64288,0.0028666666666666667,0.49652538204427005
9,hypergraph_not_selfdual_2025_09_29_18_46_10_9_1,15000,200,4.999580000000001,0.015333333333333332,0.09933454553355746
10,hypergraph_not_selfdual_2025_09_29_18_45_28_8_1,15000,100,3.23036,0.0042,0.23563643328312514
11,hypergraph_not_selfdual_2025_09_29_18_45_55_7_0,15000,100,3.02866,0.012333333333333333,0.07492598534256009
12,hypergraph_not_selfdual_2025_09_29_18_46_00_9_1,15000,100,3.44974,0.002266666666666667,0.4667243567476013
13,hypergraph_not_selfdual_2025_09_29_18_45_30_9_1,15000,200,5.054120000000001,0.005866666666666667,0.26371297967537183
14,hypergraph_not_selfdual_2025_09_29_18_45_50_9_1,15000,20,2.2697400000000005,0.0015333333333333334,0.45410970935794986
15,hypergraph_not_selfdual_2025_09_29_18_46_10_9_1,15000,20,2.08948,0.0168,0.0378625178855446
16,hypergraph_not_selfdual_2025_09_29_18_46_06_7_1,15000,100,3.02106,0.014,0.065785138722159
17,hypergraph_not_selfdual_2025_09_29_18_47_00_9_1,15000,100,3.65582,0.0008,1.402411508480737
18,hypergraph_not_selfdual_2025_09_29_18_45_43_6_0,15000,100,3.27604,0.020466666666666668,0.048637792152510295
19,hypergraph_not_selfdual_2025_09_29_18_46_21_5_0,15000,5,1.39978,0.11433333333333333,0.0035395106029099768
20,hypergraph_not_selfdual_2025_09_29_18_45_41_5_0,15000,5,1.58096,0.11746666666666666,0.0038842640150170567
21,hypergraph_not_selfdual_2025_09_29_18_46_47_8_0,15000,100,3.14682,0.008933333333333333,0.1076628022707623
22,hypergraph_not_selfdual_2025_09_29_18_46_01_5_0,15000,5,1.3915,0.1274,0.0031348143518604354
23,hypergraph_not_selfdual_2025_09_29_18_45_30_9_1,15000,5,2.2000800000000003,0.0078,0.08625792697874812
24,hypergraph_not_selfdual_2025_09_29_18_46_58_8_1,15000,200,4.90026,0.0017333333333333333,0.8671910746259716
25,hypergraph_not_selfdual_2025_09_29_18_46_55_7_0,15000,20,1.9879,0.012066666666666667,0.05027222760860262
26,hypergraph_not_selfdual_2025_09_29_18_46_45_7_0,15000,20,1.82584,0.013266666666666666,0.04197188291323462
27,hypergraph_not_selfdual_2025_09_29_18_46_50_9_1,15000,20,2.09122,0.0005333333333333334,1.2034819568672208
28,hypergraph_not_selfdual_2025_09_29_18_45_25_7_0,15000,20,1.84922,0.012133333333333333,0.0465066160934003
29,hypergraph_not_selfdual_2025_09_29_18_46_45_7_0,15000,200,4.7212,0.012466666666666666,0.11554075630422554
30,hypergraph_not_selfdual_2025_09_29_18_46_49_9_0,15000,20,2.2478200000000004,0.0008,0.8622877048085439
31,hypergraph_not_selfdual_2025_09_29_18_46_13_6_0,15000,20,1.7207000000000001,0.0308,0.0168862525545721
32,hypergraph_not_selfdual_2025_09_29_18_46_20_9_1,15000,200,5.0402,0.002,0.7729253349302001
